cluster_index, module_index, channel0, channel1

Event: 0
20,2810,180,888
20,2810,179,889
20,2810,180,889
20,2810,178,890
20,2810,179,890
20,2810,177,891
20,2810,178,891
20,2810,176,892
20,2810,177,892
20,2810,176,893
20,2810,175,894
20,2810,174,895
20,2810,175,895
20,2810,173,896
20,2810,174,896
20,2810,172,897
20,2810,173,897
20,2810,171,898
20,2810,172,898
20,2810,170,899
20,2810,171,899
20,2810,170,900
20,2810,169,901
20,2810,170,901
20,2810,168,902
20,2810,169,902
20,2810,167,903
20,2810,168,903
20,2810,166,904
20,2810,167,904
20,2810,166,905
20,2810,165,906
20,2810,164,907
20,2810,165,907
20,2810,163,908
20,2810,164,908
20,2810,162,909
20,2810,163,909
20,2810,161,910
20,2810,162,910
20,2810,160,911
20,2810,161,911
20,2810,160,912
20,2810,159,913
20,2810,160,913
20,2810,158,914
20,2810,157,915
20,2810,158,915
20,2810,156,916
20,2810,157,916
20,2810,155,917
20,2810,156,917
20,2810,155,918
20,2810,154,919
20,2810,153,920
20,2810,154,920
20,2810,152,921
20,2810,153,921
20,2810,151,922
20,2810,152,922
20,2810,151,923
20,2810,149,924
20,2810,150,924
20,2810,149,925
20,2810,148,926
20,2810,149,926
20,2810,147,927
20,2810,148,927
20,2810,146,928
20,2810,147,928
20,2810,145,929
20,2810,146,929
20,2810,144,930
20,2810,145,930
20,2810,144,931
20,2810,143,932
20,2810,142,933
20,2810,143,933
20,2810,141,934
20,2810,142,934
20,2810,140,935
20,2810,141,935
20,2810,139,936
20,2810,140,936
20,2810,139,937
20,2810,138,938
20,2810,137,939
20,2810,138,939
20,2810,136,940
20,2810,137,940
20,2810,135,941
20,2810,136,941
20,2810,135,942
20,2810,134,943
20,2810,133,944
20,2810,132,945
20,2810,133,945
20,2810,131,946
20,2810,132,946
20,2810,130,947
20,2810,131,947
20,2810,130,948
20,2810,129,949
20,2810,128,950
20,2810,127,951
20,2810,128,951
20,2810,126,952
20,2810,127,952
20,2810,125,953
20,2810,126,953
20,2810,124,954
20,2810,125,954
20,2810,124,955
20,2810,123,956
20,2810,124,956
20,2810,122,957
20,2810,123,957
20,2810,121,958
20,2810,122,958
20,2810,120,959
20,2810,121,959
20,2810,120,960
20,2810,119,961
20,2810,118,962
20,2810,117,963
20,2810,118,963
20,2810,116,964
20,2810,117,964
20,2810,115,965
20,2810,116,965
20,2810,114,966
20,2810,115,966
20,2810,114,967
20,2810,113,968
20,2810,112,969
20,2810,113,969
20,2810,111,970
20,2810,112,970
20,2810,110,971
20,2810,111,971
20,2810,109,972
20,2810,110,972
20,2810,109,973
20,2810,108,974
20,2810,107,975
20,2810,108,975
20,2810,106,976
20,2810,107,976
20,2810,105,977
20,2810,106,977
20,2810,104,978
20,2810,105,978
20,2810,104,979
20,2810,103,980
20,2810,102,981
20,2810,101,982
20,2810,102,982
20,2810,100,983
20,2810,101,983
20,2810,99,984
20,2810,100,984
20,2810,98,985
20,2810,99,985
20,2810,98,986
20,2810,97,987
20,2810,98,987
20,2810,96,988
20,2810,97,988
20,2810,95,989
20,2810,96,989
20,2810,94,990
20,2810,95,990
20,2810,93,991
20,2810,94,991
20,2810,93,992
20,2810,92,993
20,2810,93,993
20,2810,91,994
20,2810,92,994
20,2810,90,995
20,2810,91,995
20,2810,89,996
20,2810,90,996
20,2810,88,997
20,2810,89,997
20,2810,88,998
20,2810,87,999
20,2810,88,999
20,2810,86,1000
20,2810,87,1000
20,2810,85,1001
20,2810,86,1001
20,2810,84,1002
20,2810,85,1002
20,2810,83,1003
20,2810,84,1003
20,2810,83,1004
20,2810,82,1005
20,2810,83,1005
20,2810,81,1006
20,2810,82,1006
20,2810,80,1007
20,2810,81,1007
20,2810,79,1008
20,2810,80,1008
20,2810,79,1009
20,2810,78,1010
20,2810,77,1011
20,2810,76,1012
20,2810,77,1012
20,2810,75,1013
20,2810,76,1013
20,2810,74,1014
20,2810,75,1014
