spB_x, spB_y, spB_z, spM_x, spM_y, spM_z, spT_x, spT_y, spT_z, weight, z_vertex

Event: 0
42.1912,52.9433,-100.93,70.7844,88.883,-187.226,105.859,132.952,-293.063,-0.0685237,26.2759
19.9213,24.9871,-33.7564,71.8997,90.2748,-190.585,105.859,132.952,-293.063,-0.0149044,26.2984
43.0777,54.0627,-103.613,71.8997,90.2748,-190.585,105.859,132.952,-293.063,-0.0272565,26.2888
42.1912,52.9433,-100.93,71.8997,90.2748,-190.585,105.859,132.952,-293.063,-0.0417773,26.2877
17.8367,26.6231,60.4024,63.4424,94.7225,147.609,94.546,141.182,207.109,-0.00210447,26.3051
37.9647,56.6538,98.8623,63.4424,94.7225,147.609,94.546,141.182,207.109,-0.0523419,26.2887

Event: 1
-26.5445,-17.9886,-46.6924,-56.3972,-38.2302,-82.2203,-94.6313,-64.1225,-127.726,399.976,-15.1071
-27.7814,-18.8186,-48.1644,-56.3972,-38.2302,-82.2203,-94.6313,-64.1225,-127.726,399.955,-15.1166
-26.5445,-17.9886,-46.6924,-56.3972,-38.2302,-82.2203,-94.6313,-64.1225,-127.726,399.976,-15.1071
-27.7814,-18.8186,-48.1644,-56.3972,-38.2302,-82.2203,-94.6313,-64.1225,-127.726,399.955,-15.1166
-56.3972,-38.2302,-82.2203,-94.6313,-64.1225,-127.726,-140.455,-95.1122,-182.212,-0.017413,-15.0769
-56.3972,-38.2302,-82.2203,-94.6313,-64.1225,-127.726,-141.932,-96.1091,-183.968,-0.0188095,-15.0769
-26.5445,-17.9886,-46.6924,-56.3972,-38.2302,-82.2203,-94.6313,-64.1225,-127.726,399.976,-15.1071
-27.7814,-18.8186,-48.1644,-56.3972,-38.2302,-82.2203,-94.6313,-64.1225,-127.726,399.955,-15.1166
-56.3972,-38.2302,-82.2203,-94.6313,-64.1225,-127.726,-140.455,-95.1122,-182.212,-0.017413,-15.0769
