spB_x, spB_y, spB_z, spM_x, spM_y, spM_z, spT_x, spT_y, spT_z, weight, z_vertex

Event: 0
-31.3609,-6.85038,-9.71001,-66.4854,-14.4981,5.18764,-111.971,-24.4138,24.4865,199.972,-23.0133
-31.3609,-6.85038,-9.71001,-66.4854,-14.4981,5.18764,-166.882,-36.3923,47.7839,199.973,-23.0133
-32.6629,-7.1194,-9.15207,-66.4854,-14.4981,5.18764,-111.971,-24.4138,24.4865,199.989,-22.9996
-32.6629,-7.1194,-9.15207,-66.4854,-14.4981,5.18764,-166.882,-36.3923,47.7839,199.992,-22.9996
-31.3609,-6.85038,-9.71001,-111.971,-24.4138,24.4865,-166.882,-36.3923,47.7839,-0.0235881,-23.0155
-32.6629,-7.1194,-9.15207,-111.971,-24.4138,24.4865,-166.882,-36.3923,47.7839,-0.00120248,-23.0058
-66.4854,-14.4981,5.18764,-111.971,-24.4138,24.4865,-166.882,-36.3923,47.7839,-0.0149497,-23.0216
-31.2343,-7.90073,18.2526,-65.801,-16.589,63.8966,-110.654,-27.8954,123.16,199.933,-23.0067
-31.2343,-7.90073,18.2526,-65.801,-16.589,63.8966,-164.938,-41.5309,194.858,199.948,-23.0067
-32.1101,-8.10142,19.4076,-65.801,-16.589,63.8966,-110.654,-27.8954,123.16,199.984,-22.9977
-32.1101,-8.10142,19.4076,-65.801,-16.589,63.8966,-164.938,-41.5309,194.858,199.993,-22.9977
-31.2343,-7.90073,18.2526,-110.654,-27.8954,123.16,-164.938,-41.5309,194.858,-0.0216963,-23.0173
-32.1101,-8.10142,19.4076,-110.654,-27.8954,123.16,-164.938,-41.5309,194.858,-0.0123905,-23.0112
-65.801,-16.589,63.8966,-110.654,-27.8954,123.16,-164.938,-41.5309,194.858,-0.0614782,-23.0462
-25.6026,-20.5285,-86.2618,-52.8486,-42.3667,-146.604,-89.6902,-71.9751,-228.309,199.959,-29.551
-25.6026,-20.5285,-86.2618,-52.8486,-42.3667,-146.604,-132.277,-106.178,-322.737,199.976,-29.551
-25.6026,-20.5285,-86.2618,-52.8486,-42.3667,-146.604,-133.664,-107.285,-325.785,199.977,-29.551
-25.6026,-20.5285,-86.2618,-54.2272,-43.4975,-149.681,-89.6902,-71.9751,-228.309,199.998,-29.5549
-25.6026,-20.5285,-86.2618,-54.2272,-43.4975,-149.681,-132.277,-106.178,-322.737,199.995,-29.5549
-25.6026,-20.5285,-86.2618,-54.2272,-43.4975,-149.681,-133.664,-107.285,-325.785,199.994,-29.5549
-25.6026,-20.5285,-86.2618,-89.6902,-71.9751,-228.309,-132.277,-106.178,-322.737,-0.0124955,-29.5409
-25.6026,-20.5285,-86.2618,-89.6902,-71.9751,-228.309,-133.664,-107.285,-325.785,-0.0151487,-29.5409
-52.8486,-42.3667,-146.604,-89.6902,-71.9751,-228.309,-132.277,-106.178,-322.737,-0.107803,-29.5147
-52.8486,-42.3667,-146.604,-89.6902,-71.9751,-228.309,-133.664,-107.285,-325.785,-0.114472,-29.5147
-54.2272,-43.4975,-149.681,-89.6902,-71.9751,-228.309,-132.277,-106.178,-322.737,-0.0325433,-29.5013
-54.2272,-43.4975,-149.681,-89.6902,-71.9751,-228.309,-133.664,-107.285,-325.785,-0.0400455,-29.5013
-23.9727,-21.8076,-137.55,-109.649,-99.6108,-722.6,-127.194,-115.573,-842.6,-0.0598197,26.2788
-50.8052,-46.183,-320.804,-109.649,-99.6108,-722.6,-127.194,-115.573,-842.6,-0.139106,26.285
-23.9727,-21.8076,-137.55,-50.8052,-46.183,-320.804,-127.194,-115.573,-842.6,399.978,26.276
-23.9727,-21.8076,-137.55,-50.8052,-46.183,-320.804,-109.649,-99.6108,-722.6,399.983,26.276
-23.9727,-21.8076,-137.55,-50.8052,-46.183,-320.804,-95.0022,-86.3413,-622.6,399.975,26.276
-25.6026,-20.5285,-86.2618,-48.7992,-47.7573,-82.9442,-111.766,-129.21,-73.725,-5.44139,-89.277
-23.0287,-22.5485,-19.7591,-48.7992,-47.7573,-82.9442,-81.2382,-79.4754,-162.451,199.991,36.7301
-23.0287,-22.5485,-19.7591,-48.7992,-47.7573,-82.9442,-82.5418,-80.753,-165.631,199.989,36.7301
-23.0287,-22.5485,-19.7591,-48.7992,-47.7573,-82.9442,-122.201,-119.496,-262.776,199.991,36.7301
-23.0287,-22.5485,-19.7591,-81.2382,-79.4754,-162.451,-122.201,-119.496,-262.776,-0.0066622,36.7258
-48.7992,-47.7573,-82.9442,-81.2382,-79.4754,-162.451,-122.201,-119.496,-262.776,-0.00142956,36.7137
-23.0287,-22.5485,-19.7591,-82.5418,-80.753,-165.631,-122.201,-119.496,-262.776,-0.00363495,36.7181
-48.7992,-47.7573,-82.9442,-82.5418,-80.753,-165.631,-122.201,-119.496,-262.776,-0.00976599,36.6854
-21.416,-23.8141,-183.817,-45.3379,-50.4738,-234.27,-76.4126,-84.9913,-299.678,199.921,-138.705
-21.416,-23.8141,-183.817,-45.3379,-50.4738,-234.27,-113.412,-126.112,-377.587,199.941,-138.705
-21.416,-23.8141,-183.817,-45.3379,-50.4738,-234.27,-114.577,-127.429,-380.07,199.944,-138.705
-20.944,-24.1845,-76.075,-44.3545,-51.2455,-75.475,-74.6283,-86.2251,-74.675,199.978,-76.6115
-20.944,-24.1845,-76.075,-44.3545,-51.2455,-75.475,-111.766,-129.21,-73.725,199.987,-76.6115
-21.416,-23.8141,-183.817,-76.4126,-84.9913,-299.678,-113.412,-126.112,-377.587,-0.0177907,-138.709
-21.416,-23.8141,-183.817,-76.4126,-84.9913,-299.678,-114.577,-127.429,-380.07,-0.0104311,-138.709
-45.3379,-50.4738,-234.27,-76.4126,-84.9913,-299.678,-113.412,-126.112,-377.587,-0.095655,-138.722
-45.3379,-50.4738,-234.27,-76.4126,-84.9913,-299.678,-114.577,-127.429,-380.07,-0.115869,-138.722
-20.944,-24.1845,-76.075,-74.6283,-86.2251,-74.675,-111.766,-129.21,-73.725,-0.00696958,-76.6209
-44.3545,-51.2455,-75.475,-74.6283,-86.2251,-74.675,-111.766,-129.21,-73.725,-0.061065,-76.647
-16.0311,-28.6983,42.825,-33.0588,-59.14,49.275,-55.8988,-100.03,57.925,199.965,36.7463
-16.0311,-28.6983,42.825,-33.0588,-59.14,49.275,-82.8628,-148.339,68.1574,199.969,36.7463
-16.0311,-28.6983,42.825,-33.9833,-60.7902,49.625,-55.8988,-100.03,57.925,199.961,36.7461
-16.0311,-28.6983,42.825,-33.9833,-60.7902,49.625,-82.8628,-148.339,68.1574,199.966,36.7461
-16.0311,-28.6983,42.825,-55.8988,-100.03,57.925,-82.8628,-148.339,68.1574,-0.0229359,36.7507
-33.0588,-59.14,49.275,-55.8988,-100.03,57.925,-82.8628,-148.339,68.1574,-0.00187549,36.7622
-33.9833,-60.7902,49.625,-55.8988,-100.03,57.925,-82.8628,-148.339,68.1574,-0.00777131,36.7639
-10.7207,-30.1834,12.6915,-22.7113,-63.9426,-17.7114,-38.1052,-107.357,-56.7743,199.986,39.8742
-10.7207,-30.1834,12.6915,-22.7113,-63.9426,-17.7114,-56.8153,-160.002,-104.181,199.998,39.8742
-9.32431,-30.5739,60.3317,-19.7302,-64.7763,157.85,-33.0573,-108.606,282.823,199.983,-26.8593
-9.32431,-30.5739,60.3317,-19.7302,-64.7763,157.85,-33.5226,-110.111,287.144,199.979,-26.8593
-9.32431,-30.5739,60.3317,-19.7302,-64.7763,157.85,-49.7097,-163.082,438.19,199.968,-26.8593
-9.32431,-30.5739,60.3317,-20.1997,-66.3492,162.336,-33.0573,-108.606,282.823,199.964,-26.866
-9.32431,-30.5739,60.3317,-20.1997,-66.3492,162.336,-33.5226,-110.111,287.144,199.96,-26.866
