sp_x, sp_y, sp_z

Event: 0
158.512,-60.0201,-70.4608
158.478,-60.1349,-69.2704
158.58,-59.7859,-67.425
160.029,-60.7208,-69.603
160.408,-58.8703,-68.2504
167.774,-32.3876,371.01
73.969,-531.512,-2952.5
-435.09,-394.394,-2942.5
238.879,-522.227,-2942.5
-378.736,-343.377,-2557.5
63.9491,-458.996,-2552.5
206.653,-452.109,-2552.5
-326.939,-296.699,-2207.5
55.3904,-397.181,-2202.5
178.192,-389.897,-2202.5
-175.772,583.722,-2192.5
-274.182,-248.776,-1842.5
46.3797,-332.865,-1842.5
148.509,-325.225,-1842.5
-134.134,417.701,-1852.5
-148.431,493.159,-1852.5
-229.688,-208.516,-1542.5
38.9638,-278.066,-1542.5
123.955,-271.695,-1542.5
-124.455,413.905,-1552.5
-104.005,346.135,-1292.5
-193.214,-175.491,-1292.5
103.467,-226.883,-1292.5
383.46,-519.698,-1292.5
13.1259,258.016,18.6
4.89442,259.26,93.5
12.5327,258.106,-153.5
-57.3225,256.681,31.8
-74.4991,248.243,-924.3
-74.4991,248.243,-921.4
-72.9453,248.5,-919
-162.612,205.27,36.6
-139.974,217.007,447.8
-193.687,176.592,-47.4
-172.62,192.127,148.7
-207.343,155.868,275.7
-223.14,139.846,-112.7
-231.705,117.977,98.3
-218.26,136.76,-110.3
-256.69,-56.0476,86.3
-256.63,-64.5974,315.9
-250.155,-62.9564,307.5
-204.441,-164.21,-482.6
-175.524,-195.136,-508.3
-185.673,-181.373,-417.8
-172.408,-199.361,-71.9
-168.472,-194.916,-71.9
-126.149,-225.856,85.1
-76.0746,-249.412,684.8
-86.7156,-244.085,-179.8
129.59,-227.818,-188
151.026,-211.277,-123.5
200.146,-171.829,-269.2
190.95,-178.61,-193.2
218.506,-144.546,57.5
221.402,-141.609,152.3
195.548,-167.832,-262
233.364,-115.659,-33
241.634,-91.6113,-89.9
254.169,-48.966,529.9
169.693,203.043,-55.1
152.13,211.029,-28.2
145.561,217.506,304.5
160.995,202.288,-459.8
165.375,197.97,-56.3
81.8869,246.502,198.4
34.8821,258.635,-197.2
38.4567,257.502,-181.6
113.663,342.569,270.4
18.6004,363.562,83.5
53.1285,354.295,-265
48.0579,355.656,-241.6
17.5621,363.841,-160.7
18.317,357.232,79.1
6.6742,358.991,140.3
17.2788,357.389,-159.5
-78.5369,351.091,53.4
-195.588,303.053,610.2
-223.352,282.096,45
-243.232,270.629,221.2
-268.08,244.588,-53.4
-239.045,265.998,217
-263.915,240.722,-53.4
-289.104,217.369,368.1
-305.065,191.247,-143.9
-319.741,162.951,111.5
-351.219,-76.8167,125.9
-350.383,-88.0355,439.4
-280.797,-225.604,-652.4
-243.119,-270.072,-650.4
-257.096,-251.118,-592.9
-239.091,-265.675,-642
-234.196,-270.954,-70.7
-177.04,-317.302,104.3
-174.102,-312.132,103.1
-105.84,-346.707,962.1
-120.558,-338.921,-265.6
176.887,-311.203,-266.8
211.539,-296.101,-187.6
207.89,-291.015,-184
264.337,-247.347,-238
271.724,-233.482,-378.3
300.269,-196.817,82.7
301.395,-195.51,85.1
299.388,-197.839,87.5
303.01,-193.634,185.2
322.108,-159.482,-69.5
335.484,-127.055,-113.9
355.582,-68.3804,715.7
230.218,275.244,-48.6
212.422,294.439,15
224.15,281.789,-650.4
208.978,289.795,12.6
199.374,298.066,408.2
320.301,382.8,-36.6
311.741,392.249,-915.4
291.849,404.149,71.9
278.511,416.678,559.9
158.412,478.136,370.5
156.477,472.253,366.9
74.0712,492.522,-384.2
66.9891,494.488,-306.9
25.6565,498.531,166
9.15966,501.708,206.8
23.8889,498.871,-168.4
-109.675,489.398,85.1
-270.216,418.237,827.2
-309.447,391.315,57.5
-332.949,370.081,314.1
-368.441,336.417,-62.3
-399.454,300.634,493.9
-423.725,265.929,-188.8
-446.19,227.646,130.7
-486.672,-106.588,184
-485.286,-121.674,618
-391.785,-315.093,-898.6
-387.266,-311.483,-889
-336.441,-373.503,-847
-356.283,-347.7,-835.6
-325.538,-377.02,-68.3
-243.962,-437.832,129.5
-168.348,-472.546,-385.4
246.672,-434.317,-382.2
291.244,-407.971,-273.3
380.012,-326.754,-544.3
363.606,-340.455,-298.5
415.966,-274.886,130.7
421.171,-268.877,233.2
449.919,-222.568,-122.3
470.976,-178.175,-147.5
465.228,-176.034,-146.3
489.259,-93.4734,960.653
424.555,506.826,-24.6
387.935,536.721,141.5
366.285,548.618,728.3
207.899,628.575,482.6
98.4476,653.065,-522.1
89.2878,655.938,-381.8
34.1211,657.165,262.6
11.6928,661.265,281.7
31.17,657.704,-178
-144.713,644.489,121.1
-357.896,553.276,1082
-410.596,519.721,70.7
-443.465,492.425,427.4
-487.105,445.159,-73.1
-530.042,399.205,642
-525.067,395.492,636
-558.326,350.76,-240.4
-589.695,301.256,152.3
-648.029,-142.337,252.4
-642.001,-140.976,250
-640.283,-158.744,820.6
-640.145,-160.162,822.4
-639.633,-165.462,825.4
-639.9,-162.7,830.8
-639.481,-167.03,839.8
-639.922,-162.476,844.6
-639.553,-166.283,845.8
-475.284,-463.283,-1126.4
-470.808,-458.904,-1115.6
-440.438,-488.436,-1065.2
-430.83,-499.561,-65.9
-321.852,-578.08,159.5
-221.583,-621.296,-519.5
325.322,-573.411,-513.1
385.44,-540.47,-372.9
390.025,-530.874,-382.4
381.783,-535.342,-369.3
502.598,-432.59,-731.3
480.582,-450.451,-369.9
498.013,-428.639,-724.7
553.82,-365.602,181.6
548.661,-362.133,179.2
555.364,-354.246,287.7
595.09,-294.052,-181.6
589.499,-291.212,-179.2
618.225,-233.537,-184
-142.445,-466.122,1302.5
669.776,-128.182,1292.5
-168.855,-552.068,1547.5
-200.88,-655.739,1842.5
-201.198,-656.694,1847.5

Event: 1
32.0643,1.01731,-76.625
30.9348,10.1894,-60.1835
-27.5127,-19.0294,-148.398
-27.7826,-18.8177,-48.1546
-18.8593,-25.8205,-43.1252
-20.2969,-24.6923,110.607
-5.42397,-31.6647,-89.875
-20.1104,-27.5574,-45.0073
-16.4027,-28.5944,25.6815
-7.87974,-30.9779,34.6001
-10.7689,-30.1699,102.032
-10.817,-30.1565,102.175
-5.61722,-32.8643,-89.625
-8.4695,-33.2082,35.4353
20.7272,-25.3494,-12.425
25.2649,-19.5673,67.0849
25.7588,-18.938,91.3624
24.308,-20.7867,116.796
24.6896,-20.3004,120.242
28.5752,-16.4714,-95.2209
30.6547,-9.03539,-63.625
30.6413,-9.08355,15.8485
28.931,-15.1989,65.3366
29.8333,-11.9727,89.0824
27.528,-20.2156,90.3852
16.814,27.4257,-39.1722
17.3335,27.018,12.7734
17.3612,28.3263,-37.9955
18.0575,28.1316,11.586
7.63897,31.0453,13.075
16.0175,28.7021,15.375
8.98724,30.6682,65.235
-5.12086,31.5695,-104.56
4.10803,32.6823,-50.7547
-6.21295,31.4378,-21.9068
8.18277,33.1736,12.3876
-0.901428,32.0783,19.1204
-5.44327,33.6064,-106.04
-6.51995,33.0003,-18.1752
-12.1781,29.8153,-12.4399
-8.50162,31.8848,46.225
-24.4006,20.6687,-51.1043
-24.1227,21.0227,-43.0858
-26.3453,18.1907,22.785
-27.58,16.6173,47.5511
-30.9106,8.1205,-20.6408
-27.8176,19.1803,21.7367
-28.3981,17.1043,45.8214
-29.4966,13.1765,47.025
-31.9825,-1.69567,-118.597
-32.3439,1.30158,39.144
-26.3974,-18.25,-146.29
-29.9047,-12.0194,-65.2613
-26.5445,-17.9886,-46.6822
-30.7797,-10.4648,22.7624
67.9226,2.19208,-78.375
-25.796,63.1643,4.6605
-51.7085,43.7645,-154.565
-51.7085,43.7645,-154.363
-51.122,44.5118,-60.2819
-53.1253,44.9274,-159.824
-58.1455,35.0212,-16.9246
-56.2469,38.7675,1.2228
-62.487,27.9161,52.8582
-66.557,17.4824,-12.4791
-67.6643,-4.33492,-144.257
-67.6145,-4.74745,-144.417
-67.755,-3.58201,-143.33
-67.7296,-3.79297,-141.91
-68.5192,2.75543,57.1329
-63.3697,-25.4312,-47.0064
-65.2,-22.1795,79.2302
-55.974,-38.7236,-202.149
-56.3972,-38.2302,-82.2324
65.5342,21.5859,-36.2536
-42.9778,-52.3259,116.05
-40.4273,-55.4058,-75.1999
-33.7194,-58.8052,8.85893
-44.0303,-53.5799,116.301
-22.8838,-63.8943,169.432
-11.4501,-67.0185,-82.4934
-16.9839,-66.5952,47.875
42.898,-52.3929,-9.54809
43.9296,-53.6766,-9.425
51.4753,-44.0617,201.189
58.7332,-33.8616,-109.612
55.3079,-40.6205,74.8901
59.9311,-31.4978,90.7668
54.5066,-42.2017,96.9274
52.9294,-45.3141,205.76
64.9513,-19.1043,-50.8057
64.9244,-19.2006,-12.9501
61.2884,-32.2017,91.8722
63.1966,-25.3788,141.947
66.401,-19.5222,-50.2617
66.393,-19.6262,-14.1876
36.7606,57.264,-19.1991
35.4672,57.9195,0.74699
33.0142,59.1626,7.225
33.9352,60.8036,6.775
19.008,64.9783,19.9587
8.40896,67.2511,-25.0265
16.4355,66.6371,1.6343
19.4335,66.4078,18.0868
-1.89424,67.9586,57.4411
-10.9342,67.652,-130.805
-17.4918,65.5055,51.075
-13.2151,66.9054,62.2152
113.743,3.68129,-80.625
32.2918,110.262,-39.8131
27.3577,110.865,-12.575
14.1215,113.354,9.27742
-3.13525,113.809,106.372
-18.1416,112.279,-163.265
-29.3812,110.092,57.5319
-22.2835,112.777,171.019
-43.0566,105.423,26.337
-86.9819,73.5338,-287.968
-86.015,74.932,-82.5195
-97.2592,58.6188,-99.4271
-94.0243,64.77,-26.005
-98.6654,59.4887,-102.424
-103.682,46.2945,60.125
-105.163,46.9743,60.375
-110.657,29.0559,-2.38953
-113.458,-6.04745,-174.927
-114.741,4.59347,80.125
-115.225,-6.14799,-176.151
-105.742,-42.4472,-23.89
-108.619,-36.9549,150.467
109.147,35.946,-6.09516
-93.9102,-64.9377,-273.742
-94.6313,-64.1225,-127.706
-72.2177,-87.8919,123.075
-67.558,-92.5581,-115.506
-57.0701,-99.5849,-13.8431
-38.445,-107.273,256.069
-25.0269,-111.15,58.746
-23.8382,-111.295,59.426
